Order_ID,Customer_ID,Product_Category,Order_Date,Quantity,Revenue
ORD_00102406,CUST_013738,Home & Garden,2023-01-01,1,419.19
ORD_00102902,CUST_011726,Electronics,2023-01-01,1,202.3567
ORD_00103864,CUST_010891,Electronics,2023-01-01,6,6645.9
ORD_00103560,CUST_011452,Electronics,2023-01-01,5,1444.2
ORD_00100632,CUST_010886,Electronics,2023-01-02,1,191.27
ORD_00103733,CUST_010410,Clothing,2023-01-02,4,505.1844
ORD_00103814,CUST_011600,Beauty,2023-01-02,5,529.414
ORD_00104082,CUST_012368,Clothing,2023-01-02,1,118.51
ORD_00102022,CUST_014778,Books,2023-01-02,2,60.46
ORD_00104782,CUST_010262,Home & Garden,2023-01-02,1,285.41
ORD_00100626,CUST_011456,Beauty,2023-01-02,1,27.53
ORD_00103622,CUST_011615,Beauty,2023-01-03,1,16.59
ORD_00101482,CUST_014005,Electronics,2023-01-03,4,5669.12
ORD_00103766,CUST_013862,Sports,2023-01-03,1,191.6907
ORD_00103883,CUST_014608,Sports,2023-01-04,1,204.56
ORD_00103674,CUST_013835,Electronics,2023-01-04,3,3335.1225
ORD_00104963,CUST_010934,Home & Garden,2023-01-04,2,1135.4462
ORD_00104506,CUST_013629,Clothing,2023-01-04,1,29.9
ORD_00104918,CUST_011705,Clothing,2023-01-05,5,424.05
ORD_00102567,CUST_010104,Home & Garden,2023-01-05,7,2198.35
ORD_00104812,CUST_014197,Electronics,2023-01-05,1,694.07
ORD_00104720,CUST_011361,Electronics,2023-01-05,1,253.74
ORD_00103988,CUST_013358,Home & Garden,2023-01-05,5,3054.15
ORD_00104397,CUST_011079,Electronics,2023-01-05,2,1673.84
ORD_00100866,CUST_014710,Home & Garden,2023-01-05,2,704.7
ORD_00104696,CUST_013508,Clothing,2023-01-06,1,222.19
ORD_00103525,CUST_012294,Electronics,2023-01-06,4,4312.6
ORD_00102230,CUST_013331,Home & Garden,2023-01-06,2,850.6
ORD_00102305,CUST_013066,Books,2023-01-06,1,11.25
ORD_00100470,CUST_010750,Home & Garden,2023-01-06,1,452.26
ORD_00102421,CUST_013418,Books,2023-01-06,1,6.7584
ORD_00103304,CUST_011609,Sports,2023-01-06,6,751.0386
ORD_00101379,CUST_010373,Home & Garden,2023-01-06,3,205.56
ORD_00103082,CUST_014336,Home & Garden,2023-01-06,1,325.1178
ORD_00104340,CUST_014113,Books,2023-01-06,1,50.02
ORD_00104775,CUST_010841,Electronics,2023-01-06,1,1231.893
ORD_00103870,CUST_011369,Beauty,2023-01-07,2,65.9
ORD_00102557,CUST_012577,Sports,2023-01-07,1,292.158
ORD_00100397,CUST_012033,Home & Garden,2023-01-07,1,700.26
ORD_00100967,CUST_012473,Home & Garden,2023-01-07,3,1943.67
ORD_00100104,CUST_013908,Home & Garden,2023-01-07,1,119.2526
ORD_00103600,CUST_014512,Clothing,2023-01-07,1,53.62
ORD_00104485,CUST_012002,Beauty,2023-01-07,1,93.51
ORD_00100479,CUST_012496,Books,2023-01-07,1,41.2782
ORD_00104400,CUST_012379,Home & Garden,2023-01-07,3,597.915
ORD_00102183,CUST_011599,Books,2023-01-07,1,30.98
ORD_00104545,CUST_010047,Electronics,2023-01-08,2,377.0
ORD_00101787,CUST_013993,Clothing,2023-01-08,5,604.35
ORD_00101940,CUST_013243,Home & Garden,2023-01-08,2,1181.12
ORD_00104099,CUST_011939,Home & Garden,2023-01-08,2,118.524
ORD_00100917,CUST_011895,Sports,2023-01-08,4,1347.32
ORD_00103425,CUST_013978,Electronics,2023-01-08,1,1866.41
ORD_00102730,CUST_014027,Home & Garden,2023-01-08,4,833.96
ORD_00100847,CUST_014258,Books,2023-01-08,1,11.54
ORD_00100925,CUST_013592,Clothing,2023-01-09,1,247.54
ORD_00101907,CUST_014595,Clothing,2023-01-09,1,179.63
ORD_00103596,CUST_011468,Beauty,2023-01-09,2,69.4
ORD_00104451,CUST_013556,Home & Garden,2023-01-09,3,1827.72
ORD_00104972,CUST_012004,Sports,2023-01-09,1,145.41
ORD_00103994,CUST_011754,Home & Garden,2023-01-09,3,2022.39
ORD_00101551,CUST_013022,Sports,2023-01-09,5,1155.8
ORD_00100056,CUST_010595,Books,2023-01-10,5,125.05
